# Groups (index,color,sum) - BEGIN
27,Orange,8
26,White,19
25,Cyan,16
24,Purple,4
23,Orange,15
22,White,22
21,Orange,10
20,Cyan,7
19,Purple,31
18,Purple,35
17,Cyan,6
16,Purple,8
15,White,8
14,Cyan,15
13,Orange,13
12,White,14
11,Orange,30
10,Purple,9
9,White,7
8,Cyan,5
7,Purple,26
6,Orange,20
5,White,22
4,Cyan,11
3,White,11
2,Purple,11
1,White,13
0,Cyan,9
# Groups - END
# Cells (x,y,qroup) -BEGIN 
0,0,0
0,1,0
0,2,1
0,3,2
0,4,2
0,5,3
0,6,4
0,7,4
0,8,5
1,0,6
1,1,7
1,2,1
1,3,8
1,4,8
1,5,3
1,6,10
1,7,11
1,8,5
2,0,6
2,1,7
2,2,1
2,3,7
2,4,9
2,5,11
2,6,10
2,7,11
2,8,5
3,0,6
3,1,7
3,2,7
3,3,7
3,4,9
3,5,11
3,6,11
3,7,11
3,8,16
4,0,12
4,1,12
4,2,13
4,3,13
4,4,14
4,5,15
4,6,15
4,7,15
4,8,16
5,0,17
5,1,18
5,2,18
5,3,18
5,4,14
5,5,19
5,6,19
5,7,19
5,8,20
6,0,17
6,1,18
6,2,22
6,3,18
6,4,23
6,5,19
6,6,25
6,7,19
6,8,20
7,0,17
7,1,18
7,2,22
7,3,23
7,4,23
7,5,25
7,6,25
7,7,19
7,8,27
8,0,21
8,1,21
8,2,22
8,3,24
8,4,24
8,5,26
8,6,26
8,7,26
8,8,27
# Cells - END
